NA,s10,s100,s1000,smax,uplift,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,length,h0,popdens,wetland,psig0,psig0coef,psigA,psigB,rsig0,rsigA,rsigB,s10000
UnitedStates3697,0.15,0.306,0.469,3.469,0,1,1,1,1,1,1.333333333,1.333333333,1.333333333,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.749,1.425,1973.49,0,0.031754697,0.720811529,0.053230895,34.289285078,0.031754697,0.15770747,47.677203855,0.924121557
UnitedStates3565,0.145,0.295,0.451,3.451,0.372,69,11,13,2,12,11,11,11,7.5,7.5,7.5,7.5,7,7,7,68.529,1.417,38.357,0.234,0.032089728,0.721649908,0.052222727,34.218538078,0.032089728,0.157092878,47.370286597,0.885466587
UnitedStates3566,0.151,0.307,0.471,3.471,0.33,38,10,11,5,5,4.666666667,4.666666667,4.666666667,2.5,2.5,2.5,2.5,1.5,1.5,1.5,11.484,1.592,502.085,0,0.030908548,0.720687991,0.050153834,35.928081,0.030908548,0.161375526,48.650702675,0.921337517
UnitedStates3567,0.165,0.337,0.518,3.518,0.33,44,25,39,28,21,14,14,14,9.25,9.25,9.25,9.25,5.25,5.25,5.25,22.374,1.39,38.578,67.9,0.032050144,0.720925603,0.053191518,33.975250109,0.032050144,0.157980478,47.205084905,1.021067885
UnitedStates3568,0.125,0.252,0.383,3.383,0.275,147,20,16,16,17,21,21,21,24,24,24,24,23.5,23.5,23.5,448.429,0.926,9.91,0.758,0.03989327,0.721940829,0.055462414,27.188551412,0.03989327,0.166127703,37.28921421,0.741616574
UnitedStates3569,0.155,0.318,0.487,3.487,0.23,9,1,1,1,1,0.666666667,0.666666667,0.666666667,0,0,0,0,0,0,0,17.091,1.348,1083.78,0,0.86366138,7.288459801,0.059831364,12.114563046,0.86366138,0.18305387,16.469229381,0.970793819
UnitedStates3570,0.16,0.327,0.501,3.501,0.23,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.436,0,497.53,0,0.652597622,8.334972049,0.057184174,18.755195852,0.652597622,0.177257857,25.412923116,0.990965494
UnitedStates3571,0.164,0.335,0.515,3.515,0.23,6,2,1,1,1,0.666666667,0.666666667,0.666666667,1,1,1,1,1.25,1.25,1.25,5.496,1.484,2151.5,68.1053,6.487525397,93.751055906,0.061263653,21.026012125,6.487525397,0.176317373,29.064136355,1.015307267
UnitedStates3572,0.192,0.394,0.608,3.608,0.23,8,5,1,5,4,2.333333333,2.333333333,2.333333333,2.25,2.25,2.25,2.25,2.5,2.5,2.5,13.9,1.652,511.396,284.6299,4.103357355,58.31417113,0.057747311,21.063875987,4.103357355,0.172379317,28.803826235,1.206378981
UnitedStates3573,0.26,0.538,0.837,3.837,0.23,67,67,57,50,50,24.666666667,24.666666667,24.666666667,20.75,20.75,20.75,20.75,15.25,15.25,15.25,26.023,1.837,126.444,0,4.721321535,53.727602533,0.05752804,16.923894316,4.721321535,0.179836049,22.774417064,1.678765922
