rcp,level,seg,costtype,time,value
rcp85_p50,optimalfixed,1000segs,stormPopulation,9,0.079228063
rcp85_p50,optimalfixed,1000segs,total,9,9.704314463
rcp85_p50,optimalfixed,1000segs,wetland,10,2.575444631
rcp85_p50,optimalfixed,1000segs,inundation,10,7.849785486
rcp85_p50,optimalfixed,1000segs,relocation,10,0.114704757
rcp85_p50,optimalfixed,1000segs,protection,10,0.81260485
rcp85_p50,optimalfixed,1000segs,storms,10,0.079675764
rcp85_p50,optimalfixed,1000segs,stormCapital,10,0.043682872
rcp85_p50,optimalfixed,1000segs,stormPopulation,10,0.035992892
rcp85_p50,optimalfixed,1000segs,total,10,11.43221549
