MODEL,SCENARIO,REGION,VARIABLE,UNIT,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
IIASA-WiC POP,SSP3_v9_130115,GAB,Population,million,,,,,,,,,,,,,1.505463,1.641915499,1.7838184,1.921701427,2.054069888,2.17349252,2.287374667,2.396726197,2.501516787,2.596773752,2.683622358,2.765303177,2.841517678,2.90939557,2.976584479,3.037257427,3.098349621,3.15426007,3.21007293,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,GBR,Population,million,,,,,,,,,,,,,62.03557,63.7233968,64.89447559,65.57135011,65.80290963,65.75485645,65.50102241,65.06158095,64.37639568,63.45510786,62.312033,60.99921918,59.58317193,58.08178014,56.4747295,54.77495495,52.99870534,51.1533799,49.22937825,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,GEO,Population,million,,,,,,,,,,,,,4.352244,4.293001859,4.236352064,4.183084756,4.119404112,4.051451128,3.98628632,3.925605641,3.867483975,3.810154968,3.756566582,3.714109813,3.68631349,3.673559627,3.67367847,3.686389445,3.711701943,3.747995427,3.79174827,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,GHA,Population,million,,,,,,,,,,,,,24.391823,27.45078652,30.75713485,34.3030567,38.12790989,42.0764739,46.13367047,50.29605962,54.50427583,58.65581265,62.70735134,66.68748938,70.62846192,74.42444006,78.15861379,81.70721624,85.09496721,88.3328145,91.44890082,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,GIN,Population,million,,,,,,,,,,,,,9.98159,11.0624532,12.25925521,13.54050144,14.87453644,16.15924611,17.37954921,18.54103381,19.65167374,20.66590988,21.58643927,22.44725878,23.26361178,24.01273828,24.70277436,25.33553706,25.91270355,26.44525645,26.96279595,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,GLP,Population,million,,,,,,,,,,,,,0.460666,0.475157418,0.489604112,0.505839542,0.523196895,0.539052981,0.553081737,0.566011357,0.579151004,0.59333431,0.609174567,0.626789573,0.646172854,0.66757998,0.691145092,0.716722061,0.743945359,0.772618016,0.802786188,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,GMB,Population,million,,,,,,,,,,,,,1.728394,1.976927442,2.238825483,2.512381736,2.797034384,3.078513339,3.356828972,3.62877481,3.890490764,4.141164363,4.379787503,4.60776982,4.830321349,5.041670971,5.246530548,5.442837181,5.632250631,5.81887761,5.993982643,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,GNB,Population,million,,,,,,,,,,,,,1.515224,1.678621197,1.847732943,2.018009904,2.190335407,2.35495906,2.510368952,2.65740232,2.793999689,2.918057982,3.024522526,3.121101701,3.201918353,3.275128733,3.336386689,3.384445503,3.427865427,3.458536106,3.487728455,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,GNQ,Population,million,,,,,,,,,,,,,0.700401,0.801197898,0.903263003,1.002984248,1.104925959,1.202755543,1.29884569,1.393978729,1.489638313,1.57996061,1.666597495,1.75054574,1.826941223,1.901250364,1.96986342,2.032418245,2.08850322,2.137719939,2.180297195,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,GRC,Population,million,,,,,,,,,,,,,11.359346,11.38910595,11.28365137,11.1130788,10.89893248,10.67324012,10.42222942,10.12759409,9.777571656,9.378941481,8.949492149,8.497319401,8.045798956,7.609532606,7.19589479,6.801396852,6.42117858,6.048359866,5.680056483,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,GTM,Population,million,,,,,,,,,,,,,14.388929,16.20435313,18.27752564,20.53894846,22.91594599,25.320525,27.7676905,30.28313866,32.85581996,35.42025813,37.94924773,40.47036613,42.98295961,45.45654882,47.88788892,50.27199175,52.61545415,54.89825572,57.11629198,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,GUM,Population,million,,,,,,,,,,,,,0.179896,0.190921976,0.202627105,0.214616,0.226177055,0.236411132,0.245627507,0.254374279,0.263105608,0.271666266,0.279975942,0.287978576,0.29568268,0.303104305,0.310218243,0.31713051,0.324034302,0.331141439,0.338619573,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,GUY,Population,million,,,,,,,,,,,,,0.754493,0.772836354,0.8040187,0.842852659,0.879697967,0.907859872,0.928402313,0.945295644,0.962556853,0.97997459,0.994660961,1.007026949,1.017178832,1.026988348,1.038094523,1.050766876,1.065036833,1.081210526,1.099339017,,,,,,,,,,
IIASA-WiC POP,SSP3_v9_130115,HKG,Population,million,,,,,,,,,,,,,7.053189,7.325133195,7.541147272,7.708169121,7.857443893,7.956516925,8.005852754,8.038969512,8.077263642,8.120549262,8.171867658,8.206108831,8.22566934,8.241071829,8.262040256,8.287838232,8.309493466,8.314205319,8.28987913,,,,,,,,,,
