segments,s1,s10,s100,s1000,smax
RussianFederation2643,0,0.418,0.891,1.401,4.401
RussianFederation2644,0,0.644,1.383,2.185,5.185
RussianFederation2645,0,0.405,0.864,1.358,4.358
RussianFederation2646,0,0.321,0.68,1.066,4.066
RussianFederation2647,0,0.513,1.098,1.731,4.731
RussianFederation2648,0,0.272,0.574,0.896,3.896
RussianFederation2649,0,0.35,0.744,1.167,4.167
RussianFederation2650,0,0.316,0.668,1.046,4.046
RussianFederation2651,0,0.302,0.638,0.998,3.998
RussianFederation2652,0,0.234,0.491,0.764,3.764
RussianFederation10089,0,0.183,0.38,0.587,3.587
RussianFederation10090,0,0.18,0.373,0.576,3.576
RussianFederation10091,0,0.183,0.381,0.589,3.589
RussianFederation10092,0,0.187,0.39,0.602,3.602
RussianFederation10093,0,0.16,0.329,0.505,3.505
RussianFederation10094,0,0.181,0.377,0.582,3.582
RussianFederation10095,0,0.176,0.366,0.564,3.564
RussianFederation10096,0,0.144,0.295,0.451,3.451
RussianFederation10097,0,0.137,0.28,0.427,3.427
RussianFederation10098,0,0.131,0.269,0.41,3.41
RussianFederation10099,0,0.152,0.314,0.481,3.481
RussianFederation10100,0,0.154,0.316,0.485,3.485
RussianFederation10101,0,0.162,0.334,0.514,3.514
RussianFederation10102,0,0.134,0.274,0.418,3.418
RussianFederation10103,0,0.142,0.291,0.445,3.445
RussianFederation10104,0,0.148,0.305,0.467,3.467
RussianFederation10105,0,0.134,0.273,0.417,3.417
RussianFederation10106,0,0.126,0.257,0.391,3.391
RussianFederation10107,0,0.156,0.323,0.496,3.496
RussianFederation10108,0,0.141,0.29,0.444,3.444
RussianFederation10109,0,0.189,0.394,0.609,3.609
RussianFederation10110,0,0.155,0.319,0.49,3.49
RussianFederation10111,0,0.215,0.449,0.697,3.697
RussianFederation2631,0,0.342,0.723,1.132,4.132
RussianFederation2633,0,0.492,1.049,1.652,4.652
RussianFederation2634,0,0.354,0.75,1.176,4.176
RussianFederation10182,0,0.23,0.482,0.748,3.748
RussianFederation10187,0,0.237,0.497,0.773,3.773
RussianFederation2629,0,0.235,0.493,0.767,3.767
RussianFederation2630,0,0.199,0.414,0.641,3.641
RussianFederation10220,0,0.407,0.864,1.357,4.357
RussianFederation10227,0,0.444,0.944,1.484,4.484
RussianFederation10228,0,0.674,1.441,2.275,5.275
RussianFederation10229,0,0.519,1.107,1.744,4.744
RussianFederation2667,0,0.338,0.718,1.124,4.124
RussianFederation2672,0,0.534,1.144,1.803,4.803
RussianFederation2673,0,0.422,0.899,1.413,4.413
RussianFederation9518,0,0.395,0.841,1.321,4.321
RussianFederation2658,0,0.206,0.431,0.667,3.667
RussianFederation2659,0,0.513,1.1,1.732,4.732
RussianFederation2660,0,0.374,0.795,1.248,4.248
RussianFederation2661,0,0.362,0.77,1.207,4.207
RussianFederation2662,0,0.351,0.747,1.17,4.17
RussianFederation2663,0,0.313,0.664,1.038,4.038
RussianFederation2664,0,0.286,0.605,0.944,3.944
RussianFederation2665,0,0.495,1.06,1.668,4.668
RussianFederation2666,0,0.331,0.702,1.098,4.098
RussianFederation2668,0,0.616,1.323,2.087,5.087
RussianFederation2669,0,0.51,1.093,1.722,4.722
RussianFederation2670,0,0.344,0.731,1.144,4.144
RussianFederation2671,0,0.279,0.589,0.92,3.92
RussianFederation9522,0,0.302,0.64,1.001,4.001
RussianFederation9523,0,0.332,0.704,1.102,4.102
RussianFederation9524,0,0.283,0.598,0.934,3.934
RussianFederation9540,0,0.386,0.822,1.289,4.289
RussianFederation9542,0,0.202,0.423,0.655,3.655
RussianFederation9543,0,0.604,1.296,2.045,5.045
RussianFederation9544,0,0.195,0.408,0.631,3.631
RussianFederation9551,0,0.666,1.433,2.262,5.262
RussianFederation9552,0,0.576,1.236,1.949,4.949
RussianFederation9553,0,0.719,1.547,2.444,5.444
RussianFederation9554,0,0.282,0.596,0.931,3.931
RussianFederation9555,0,0.83,1.789,2.828,5.828
RussianFederation9556,0,0.876,1.888,2.986,5.986
RussianFederation9591,0,0.237,0.499,0.775,3.775
RussianFederation9636,0,0.243,0.512,0.797,3.797
RussianFederation2655,0,0.279,0.59,0.921,3.921
RussianFederation2656,0,0.569,1.219,1.922,4.922
RussianFederation2657,0,0.269,0.568,0.885,3.885
RussianFederation9725,0,0.211,0.441,0.683,3.683
RussianFederation9727,0,0.401,0.854,1.342,4.342
RussianFederation9751,0,0.243,0.511,0.795,3.795
RussianFederation9775,0,0.346,0.735,1.151,4.151
RussianFederation9895,0,0.476,1.018,1.602,4.602
RussianFederation9913,0,0.27,0.571,0.89,3.89
RussianFederation9957,0,0.248,0.522,0.813,3.813
RussianFederation9959,0,0.4,0.852,1.337,4.337
RussianFederation2624,0,0.304,0.643,1.006,4.006
RussianFederation2626,0,0.287,0.606,0.948,3.948
RussianFederation2627,0,0.324,0.687,1.077,4.077
RussianFederation2628,0,0.265,0.559,0.872,3.872
RussianFederation2623,0,0.259,0.544,0.849,3.849
RussianFederation2625,0,0.32,0.677,1.06,4.06
RussianFederation9387,0,0.204,0.428,0.663,3.663
RussianFederation2724,0,0.209,0.438,0.679,3.679
RussianFederation2725,0,0.22,0.461,0.716,3.716
RussianFederation2722,0,0.243,0.511,0.796,3.796
RussianFederation2723,0,0.189,0.394,0.609,3.609
RussianFederation9286,0,0.265,0.558,0.87,3.87
RussianFederation2717,0,0.27,0.57,0.889,3.889
RussianFederation2718,0,0.313,0.662,1.036,4.036
RussianFederation2719,0,0.26,0.548,0.854,3.854
RussianFederation2720,0,0.244,0.513,0.799,3.799
RussianFederation2721,0,0.387,0.824,1.294,4.294
RussianFederation9292,0,0.316,0.669,1.047,4.047
RussianFederation9359,0,0.701,1.508,2.382,5.382
RussianFederation9382,0,0.369,0.786,1.232,4.232
RussianFederation2716,0,0.216,0.453,0.703,3.703
RussianFederation2622,0,0.271,0.571,0.891,3.891
RussianFederation10222,0,0.227,0.474,0.737,3.737
RussianFederation2621,0,0.2,0.416,0.643,3.643
RussianFederation2618,0,0.16,0.329,0.505,3.505
RussianFederation2619,0,0.166,0.342,0.525,3.525
RussianFederation2620,0,0.211,0.441,0.683,3.683
RussianFederation2614,0,0.19,0.395,0.611,3.611
RussianFederation2615,0,0.177,0.367,0.565,3.565
RussianFederation2616,0,0.167,0.345,0.531,3.531
RussianFederation2617,0,0.143,0.293,0.448,3.448
RussianFederation2609,0,0.331,0.696,1.089,4.089
RussianFederation2610,0,0.278,0.581,0.907,3.907
RussianFederation2611,0,0.141,0.289,0.442,3.442
RussianFederation2612,0,0.398,0.841,1.321,4.321
RussianFederation2613,0,0.171,0.353,0.544,3.544
RussianFederation2597,0,0.379,0.797,1.25,4.25
RussianFederation2598,0,0.49,1.037,1.631,4.631
RussianFederation2599,0,0.463,0.979,1.538,4.538
RussianFederation2600,0,0.382,0.805,1.262,4.262
RussianFederation2601,0,0.464,0.981,1.542,4.542
RussianFederation2602,0,0.398,0.839,1.316,4.316
RussianFederation2603,0,0.355,0.745,1.167,4.167
RussianFederation2604,0,0.379,0.798,1.25,4.25
RussianFederation2605,0,0.232,0.482,0.749,3.749
RussianFederation2606,0,0.433,0.914,1.435,4.435
RussianFederation2607,0,0.324,0.681,1.066,4.066
RussianFederation2608,0,0.487,1.031,1.622,4.622
RussianFederation2587,0,0.531,1.121,1.764,4.764
RussianFederation2588,0,0.548,1.158,1.822,4.822
RussianFederation2589,0,0.536,1.131,1.78,4.78
RussianFederation2590,0,0.394,0.828,1.299,4.299
RussianFederation2591,0,0.326,0.683,1.069,4.069
RussianFederation2592,0,0.32,0.672,1.051,4.051
RussianFederation2593,0,0.28,0.585,0.912,3.912
RussianFederation2594,0,0.253,0.527,0.819,3.819
RussianFederation2595,0,0.331,0.696,1.088,4.088
RussianFederation2596,0,0.193,0.4,0.618,3.618
RussianFederation2585,0,0.613,1.294,2.039,5.039
RussianFederation2586,0,0.603,1.273,2.005,5.005
RussianFederation2583,0,0.372,0.78,1.222,4.222
RussianFederation2584,0,0.632,1.335,2.104,5.104
RussianFederation2577,0,0.16,0.327,0.501,3.501
RussianFederation2578,0,0.174,0.358,0.551,3.551
RussianFederation2579,0,0.203,0.419,0.647,3.647
RussianFederation2580,0,0.251,0.521,0.81,3.81
RussianFederation2581,0,0.552,1.163,1.83,4.83
RussianFederation2582,0,0.673,1.42,2.239,5.239
RussianFederation11445,0,0.216,0.448,0.695,3.695
RussianFederation11446,0,0.222,0.461,0.715,3.715
RussianFederation11447,0,0.241,0.503,0.781,3.781
RussianFederation11448,0,0.224,0.466,0.724,3.724
RussianFederation11449,0,0.243,0.506,0.787,3.787
RussianFederation11450,0,0.511,1.083,1.704,4.704
RussianFederation11451,0,0.198,0.41,0.634,3.634
RussianFederation11452,0,0.414,0.872,1.369,4.369
RussianFederation11469,0,0.709,1.507,2.378,5.378
RussianFederation11470,0,0.1,0.2,0.3,3.3
RussianFederation11471,0,0.1,0.2,0.3,3.3
RussianFederation11472,0,0.1,0.2,0.3,3.3
RussianFederation10271,0,0.658,1.406,2.221,5.221
RussianFederation10353,0,0.243,0.509,0.791,3.791
RussianFederation10438,0,0.168,0.347,0.534,3.534
RussianFederation10442,0,0.154,0.318,0.488,3.488
RussianFederation10451,0,0.648,1.381,2.179,5.179
RussianFederation10501,0,0.225,0.471,0.731,3.731
RussianFederation10502,0,0.416,0.88,1.383,4.383
RussianFederation10503,0,0.564,1.2,1.892,4.892
RussianFederation10454,0,0.924,1.975,3.125,6.125
RussianFederation10510,0,0.967,2.067,3.272,6.272
RussianFederation10512,0,0.633,1.348,2.127,5.127
RussianFederation10513,0,0.738,1.573,2.485,5.485
RussianFederation10514,0,0.906,1.935,3.061,6.061
RussianFederation10515,0,0.91,1.942,3.072,6.072
RussianFederation10516,0,0.908,1.938,3.066,6.066
RussianFederation10521,0,0.389,0.822,1.29,4.29
RussianFederation10525,0,0.157,0.323,0.496,3.496
RussianFederation10631,0,0.913,1.95,3.084,6.084
RussianFederation10638,0,0.702,1.497,2.363,5.363
RussianFederation10666,0,0.9,1.922,3.041,6.041
RussianFederation10676,0,1.036,2.214,3.505,6.505
RussianFederation10677,0,0.331,0.698,1.093,4.093
RussianFederation10678,0,1.099,2.351,3.723,6.723
RussianFederation11359,0,0.373,0.786,1.231,4.231
RussianFederation11429,0,0.72,1.529,2.414,5.414
RussianFederation11442,0,0.306,0.64,1,4
RussianFederation11443,0,0.237,0.494,0.767,3.767
RussianFederation11444,0,0.321,0.674,1.054,4.054
RussianFederation11614,0,0.28,0.586,0.913,3.913
RussianFederation11615,0,0.597,1.264,1.992,4.992
RussianFederation11616,0,0.266,0.556,0.866,3.866
RussianFederation11461,0,0.365,0.767,1.202,4.202
RussianFederation11462,0,0.465,0.983,1.545,4.545
RussianFederation11463,0,0.477,1.008,1.585,4.585
RussianFederation11464,0,0.49,1.035,1.628,4.628
RussianFederation11465,0,0.349,0.733,1.146,4.146
RussianFederation11617,0,0.345,0.725,1.134,4.134
RussianFederation11618,0,0.643,1.362,2.147,5.147
RussianFederation11619,0,0.633,1.34,2.112,5.112
RussianFederation11620,0,0.622,1.319,2.078,5.078
RussianFederation11621,0,0.334,0.701,1.096,4.096
RussianFederation11622,0,0.259,0.54,0.84,3.84
RussianFederation11724,0,0.43,0.901,1.414,4.414
RussianFederation11725,0,0.431,0.904,1.418,4.418
RussianFederation11736,0,0.626,1.318,2.077,5.077
RussianFederation2968,0,0.169,0.347,0.532,3.532
RussianFederation2969,0,0.171,0.351,0.538,3.538
RussianFederation2975,0,0.197,0.408,0.627,3.627
RussianFederation2976,0,0.187,0.387,0.594,3.594
RussianFederation2977,0,0.152,0.31,0.474,3.474
RussianFederation2979,0,0.189,0.391,0.602,3.602
RussianFederation2980,0,0.187,0.386,0.594,3.594
RussianFederation2981,0,0.185,0.382,0.587,3.587
RussianFederation2982,0,0.172,0.353,0.542,3.542
RussianFederation2983,0,0.201,0.417,0.643,3.643
RussianFederation2978,0,0.142,0.291,0.443,3.443
RussianFederation2984,0,0.233,0.485,0.749,3.749
RussianFederation2985,0,0.178,0.367,0.563,3.563
RussianFederation2986,0,0.162,0.332,0.508,3.508
RussianFederation2987,0,0.196,0.405,0.624,3.624
RussianFederation2988,0,0.147,0.3,0.458,3.458
Turkey543,0,0.15,0.308,0.473,3.473
Turkey717,0,0.124,0.251,0.382,3.382
Turkey9247,0,0.125,0.255,0.388,3.388
Turkey723,0,0.127,0.257,0.391,3.391
UnitedKingdom8828,0,0.172,0.356,0.549,3.549
Georgia665,0,0.123,0.251,0.381,3.381
Georgia666,0,0.115,0.233,0.352,3.352
Georgia667,0,0.109,0.219,0.331,3.331
Georgia668,0,0.123,0.25,0.38,3.38
Georgia669,0,0.118,0.238,0.36,3.36
Georgia672,0,0.114,0.23,0.348,3.348
Georgia673,0,0.113,0.229,0.346,3.346
Georgia674,0,0.115,0.233,0.352,3.352
Georgia675,0,0.119,0.242,0.368,3.368
Georgia676,0,0.126,0.256,0.389,3.389
Georgia670,0,0.117,0.237,0.358,3.358
Georgia671,0,0.111,0.225,0.339,3.339
Greece9261,0,0.106,0.214,0.321,3.321
Greece9262,0,0.115,0.231,0.35,3.35
Greece9242,0,0.107,0.215,0.324,3.324
Greece9245,0,0.106,0.213,0.32,3.32
Greece9241,0,0.106,0.212,0.32,3.32
Greece9244,0,0.106,0.213,0.32,3.32
Greece9243,0,0.105,0.212,0.319,3.319
Japan11578,0,0.186,0.386,0.597,3.597
Japan11579,0,0.139,0.284,0.434,3.434
Japan11612,0,0.123,0.25,0.38,3.38
Japan11625,0,0.118,0.239,0.363,3.363
Japan11485,0,0.108,0.218,0.328,3.328
Japan11570,0,0.112,0.226,0.341,3.341
Japan11564,0,0.135,0.276,0.421,3.421
Japan11565,0,0.125,0.255,0.388,3.388
Japan11566,0,0.159,0.328,0.504,3.504
Japan11567,0,0.148,0.304,0.466,3.466
Japan11568,0,0.173,0.358,0.552,3.552
Japan11569,0,0.141,0.288,0.44,3.44
Japan11571,0,0.134,0.273,0.416,3.416
Japan11572,0,0.116,0.233,0.353,3.353
Japan11574,0,0.136,0.278,0.424,3.424
Japan11575,0,0.117,0.238,0.361,3.361
Japan11576,0,0.154,0.317,0.487,3.487
Japan11577,0,0.126,0.255,0.388,3.388
Japan11580,0,0.165,0.34,0.523,3.523
Japan11581,0,0.18,0.374,0.577,3.577
Japan11573,0,0.16,0.33,0.507,3.507
Japan11389,0,0.202,0.421,0.652,3.652
Japan11390,0,0.135,0.275,0.42,3.42
Japan11399,0,0.272,0.574,0.895,3.895
Japan11400,0,0.133,0.27,0.412,3.412
Japan11373,0,0.165,0.341,0.525,3.525
Japan11374,0,0.118,0.241,0.365,3.365
Japan11375,0,0.111,0.224,0.339,3.339
Japan11376,0,0.132,0.27,0.412,3.412
Japan11377,0,0.139,0.284,0.434,3.434
Japan11378,0,0.189,0.393,0.607,3.607
Japan11379,0,0.173,0.359,0.552,3.552
Japan11382,0,0.132,0.27,0.411,3.411
Japan11383,0,0.154,0.317,0.485,3.485
Japan11478,0,0.115,0.233,0.352,3.352
Japan11401,0,0.142,0.291,0.444,3.444
Japan11404,0,0.151,0.311,0.477,3.477
Japan11408,0,0.234,0.491,0.763,3.763
Japan11410,0,0.442,0.943,1.483,4.483
Japan11411,0,0.143,0.294,0.449,3.449
Japan11412,0,0.155,0.319,0.489,3.489
Japan11413,0,0.143,0.294,0.45,3.45
Japan11414,0,0.131,0.268,0.408,3.408
Japan11422,0,0.122,0.247,0.375,3.375
Japan11363,0,0.125,0.255,0.388,3.388
Japan11366,0,0.126,0.256,0.39,3.39
Japan11367,0,0.123,0.251,0.381,3.381
Japan11368,0,0.121,0.247,0.375,3.375
Japan11369,0,0.135,0.276,0.422,3.422
Japan11370,0,0.125,0.256,0.389,3.389
Japan11371,0,0.285,0.602,0.942,3.942
Japan11372,0,0.166,0.344,0.53,3.53
Japan11393,0,0.128,0.262,0.398,3.398
Japan11394,0,0.134,0.273,0.416,3.416
Japan11395,0,0.141,0.29,0.443,3.443
Japan11396,0,0.227,0.475,0.736,3.736
Japan11403,0,0.114,0.231,0.35,3.35
Japan11405,0,0.121,0.247,0.374,3.374
Japan11406,0,0.114,0.23,0.349,3.349
Japan11397,0,0.174,0.359,0.553,3.553
Japan11398,0,0.16,0.33,0.506,3.506
Japan11402,0,0.134,0.274,0.417,3.417
Japan11563,0,0.125,0.253,0.384,3.384
Japan11583,0,0.122,0.248,0.376,3.376
Japan11584,0,0.114,0.23,0.348,3.348
Japan11613,0,0.119,0.241,0.365,3.365
Japan11623,0,0.11,0.221,0.333,3.333
Japan11624,0,0.108,0.217,0.327,3.327
Japan11628,0,0.125,0.253,0.385,3.385
Japan11629,0,0.113,0.228,0.344,3.344
Japan11630,0,0.11,0.221,0.333,3.333
Japan11407,0,0.124,0.252,0.383,3.383
Japan11409,0,0.148,0.304,0.465,3.465
Japan11415,0,0.127,0.259,0.394,3.394
Japan11416,0,0.141,0.289,0.442,3.442
Japan11417,0,0.15,0.309,0.472,3.472
Japan11418,0,0.164,0.339,0.52,3.52
Japan11419,0,0.209,0.437,0.676,3.676
Japan11420,0,0.331,0.702,1.096,4.096
Japan11421,0,0.186,0.386,0.596,3.596
Japan11361,0,0.115,0.233,0.353,3.353
Japan11362,0,0.123,0.25,0.38,3.38
Japan11364,0,0.127,0.26,0.396,3.396
Japan11391,0,0.144,0.296,0.453,3.453
Japan11365,0,0.146,0.3,0.459,3.459
Japan11380,0,0.183,0.379,0.585,3.585
Japan11381,0,0.198,0.413,0.637,3.637
Japan11384,0,0.155,0.318,0.488,3.488
Japan11427,0,0.135,0.275,0.419,3.419
Japan11385,0,0.15,0.308,0.471,3.471
Japan11386,0,0.157,0.322,0.493,3.493
Japan11387,0,0.123,0.249,0.379,3.379
Japan11388,0,0.126,0.257,0.39,3.39
Japan11392,0,0.13,0.264,0.402,3.402
Japan11334,0,0.163,0.336,0.516,3.516
Japan11335,0,0.128,0.26,0.396,3.396
Japan11336,0,0.129,0.262,0.398,3.398
Japan11425,0,0.126,0.256,0.388,3.388
Japan3286,0,0.132,0.268,0.409,3.409
Japan11126,0,0.158,0.326,0.5,3.5
Japan11164,0,0.131,0.267,0.407,3.407
Japan11166,0,0.226,0.473,0.734,3.734
Japan11170,0,0.136,0.277,0.422,3.422
Japan11174,0,0.177,0.367,0.564,3.564
Japan11180,0,0.184,0.382,0.588,3.588
Japan11186,0,0.114,0.231,0.348,3.348
Japan11187,0,0.115,0.231,0.349,3.349
Japan11188,0,0.114,0.231,0.349,3.349
Japan11189,0,0.116,0.235,0.356,3.356
Japan11194,0,0.13,0.266,0.405,3.405
Japan11195,0,0.134,0.274,0.418,3.418
Japan11196,0,0.156,0.321,0.492,3.492
Japan11210,0,0.133,0.272,0.414,3.414
Japan11212,0,0.123,0.249,0.378,3.378
Japan11213,0,0.119,0.241,0.366,3.366
Japan11214,0,0.155,0.319,0.489,3.489
Japan11242,0,0.143,0.293,0.447,3.447
Japan11227,0,0.129,0.264,0.402,3.402
Japan11229,0,0.111,0.225,0.34,3.34
Japan11239,0,0.11,0.221,0.334,3.334
Japan11240,0,0.121,0.245,0.371,3.371
Japan11241,0,0.131,0.266,0.405,3.405
Japan11243,0,0.132,0.269,0.41,3.41
Japan11244,0,0.138,0.283,0.431,3.431
Japan11249,0,0.142,0.291,0.444,3.444
Japan11185,0,0.112,0.226,0.341,3.341
Japan11208,0,0.13,0.264,0.401,3.401
Japan11211,0,0.136,0.278,0.423,3.423
Japan11224,0,0.12,0.244,0.369,3.369
Japan11225,0,0.113,0.228,0.344,3.344
Japan11226,0,0.135,0.277,0.422,3.422
Japan11280,0,0.139,0.286,0.437,3.437
Japan11283,0,0.124,0.253,0.384,3.384
Japan11284,0,0.159,0.329,0.507,3.507
Japan11333,0,0.133,0.272,0.415,3.415
Japan11273,0,0.155,0.319,0.488,3.488
Japan11277,0,0.154,0.318,0.487,3.487
Mexico5397,0,0.111,0.223,0.337,3.337
Portugal8226,0,0.109,0.219,0.33,3.33
Portugal8240,0,0.112,0.225,0.339,3.339
Portugal8241,0,0.109,0.219,0.331,3.331
Portugal8242,0,0.11,0.221,0.334,3.334
Portugal8245,0,0.108,0.217,0.327,3.327
Portugal8247,0,0.108,0.217,0.328,3.328
Portugal8273,0,0.116,0.233,0.353,3.353
Portugal8274,0,0.109,0.219,0.331,3.331
Portugal8275,0,0.108,0.217,0.327,3.327
Portugal8276,0,0.108,0.217,0.327,3.327
Portugal8277,0,0.108,0.218,0.328,3.328
Portugal8278,0,0.118,0.238,0.36,3.36
Portugal8279,0,0.124,0.252,0.382,3.382
Portugal8321,0,0.116,0.234,0.353,3.353
Portugal8322,0,0.119,0.24,0.364,3.364
Portugal8323,0,0.113,0.228,0.344,3.344
Portugal8324,0,0.109,0.219,0.33,3.33
Portugal8325,0,0.11,0.223,0.336,3.336
Portugal8326,0,0.108,0.216,0.325,3.325
Portugal8346,0,0.107,0.215,0.324,3.324
Portugal8429,0,0.105,0.211,0.317,3.317
Portugal8430,0,0.106,0.211,0.318,3.318
Portugal8431,0,0.106,0.212,0.319,3.319
Portugal8432,0,0.105,0.211,0.317,3.317
Portugal8433,0,0.105,0.211,0.317,3.317
RussianFederation2571,0,0.144,0.294,0.449,3.449
RussianFederation2572,0,0.161,0.33,0.506,3.506
RussianFederation2573,0,0.128,0.26,0.396,3.396
RussianFederation2574,0,0.267,0.555,0.864,3.864
RussianFederation2575,0,0.16,0.328,0.503,3.503
RussianFederation2576,0,0.26,0.541,0.841,3.841
RussianFederation2568,0,0.212,0.437,0.677,3.677
RussianFederation2569,0,0.171,0.35,0.538,3.538
RussianFederation2570,0,0.12,0.242,0.367,3.367
RussianFederation2561,0,0.332,0.693,1.084,4.084
RussianFederation2563,0,0.322,0.672,1.05,4.05
RussianFederation2564,0,0.1,0.2,0.3,3.3
RussianFederation2556,0,0.133,0.27,0.411,3.411
RussianFederation2557,0,0.174,0.356,0.548,3.548
RussianFederation2558,0,0.494,1.039,1.633,4.633
RussianFederation2559,0,0.377,0.79,1.238,4.238
RussianFederation2560,0,0.435,0.914,1.434,4.434
RussianFederation2562,0,0.528,1.111,1.748,4.748
RussianFederation11823,0,0.374,0.783,1.227,4.227
RussianFederation2738,0,0.192,0.4,0.617,3.617
RussianFederation2739,0,0.165,0.342,0.526,3.526
RussianFederation2745,0,0.181,0.376,0.58,3.58
RussianFederation2746,0,0.21,0.439,0.68,3.68
RussianFederation2747,0,0.171,0.355,0.547,3.547
RussianFederation2748,0,0.28,0.591,0.922,3.922
RussianFederation2749,0,0.175,0.363,0.56,3.56
RussianFederation2750,0,0.138,0.283,0.433,3.433
RussianFederation9263,0,0.168,0.348,0.535,3.535
RussianFederation2740,0,0.194,0.405,0.627,3.627
RussianFederation2742,0,0.155,0.32,0.491,3.491
RussianFederation2743,0,0.146,0.302,0.462,3.462
RussianFederation2741,0,0.244,0.514,0.799,3.799
RussianFederation2708,0,0.379,0.807,1.266,4.266
RussianFederation2709,0,0.38,0.811,1.272,4.272
RussianFederation2710,0,0.338,0.719,1.126,4.126
RussianFederation2711,0,0.464,0.992,1.56,4.56
RussianFederation2712,0,0.338,0.719,1.127,4.127
RussianFederation9497,0,0.493,1.056,1.662,4.662
RussianFederation9498,0,0.747,1.609,2.543,5.543
RussianFederation9499,0,0.405,0.863,1.355,4.355
RussianFederation2682,0,0.285,0.602,0.94,3.94
RussianFederation2701,0,0.407,0.868,1.362,4.362
RussianFederation2702,0,0.499,1.068,1.682,4.682
RussianFederation2703,0,0.582,1.25,1.971,4.971
RussianFederation2704,0,0.413,0.882,1.385,4.385
RussianFederation2705,0,0.416,0.889,1.397,4.397
RussianFederation2706,0,0.42,0.897,1.41,4.41
RussianFederation2707,0,0.339,0.72,1.128,4.128
RussianFederation9502,0,0.604,1.297,2.046,5.046
RussianFederation9505,0,0.401,0.854,1.341,4.341
RussianFederation9506,0,0.463,0.99,1.557,4.557
RussianFederation9507,0,0.568,1.218,1.92,4.92
RussianFederation2674,0,0.317,0.673,1.053,4.053
RussianFederation2675,0,0.432,0.922,1.45,4.45
RussianFederation2676,0,0.353,0.752,1.178,4.178
RussianFederation2677,0,0.36,0.765,1.199,4.199
RussianFederation2678,0,0.381,0.811,1.273,4.273
RussianFederation2679,0,0.561,1.204,1.898,4.898
RussianFederation2680,0,0.41,0.876,1.375,4.375
RussianFederation2681,0,0.329,0.7,1.095,4.095
RussianFederation9508,0,0.464,0.991,1.559,4.559
RussianFederation9509,0,0.979,2.114,3.346,6.346
RussianFederation9511,0,0.459,0.98,1.541,4.541
RussianFederation9512,0,0.451,0.963,1.515,4.515
RussianFederation2696,0,0.255,0.536,0.835,3.835
RussianFederation2697,0,0.241,0.507,0.788,3.788
RussianFederation2698,0,0.325,0.689,1.079,4.079
RussianFederation2713,0,0.401,0.854,1.341,4.341
RussianFederation2714,0,0.31,0.657,1.027,4.027
RussianFederation2715,0,0.455,0.973,1.531,4.531
RussianFederation9491,0,0.331,0.704,1.102,4.102
RussianFederation9492,0,0.346,0.736,1.152,4.152
RussianFederation9493,0,0.27,0.571,0.891,3.891
RussianFederation9500,0,0.352,0.748,1.172,4.172
RussianFederation2683,0,0.321,0.68,1.064,4.064
RussianFederation2693,0,0.272,0.575,0.897,3.897
RussianFederation2694,0,0.503,1.077,1.696,4.696
RussianFederation2695,0,0.239,0.502,0.781,3.781
RussianFederation2699,0,0.443,0.947,1.488,4.488
RussianFederation2700,0,0.402,0.858,1.348,4.348
RussianFederation2684,0,0.284,0.6,0.937,3.937
RussianFederation2685,0,0.403,0.859,1.348,4.348
RussianFederation2686,0,0.412,0.878,1.379,4.379
RussianFederation2687,0,0.345,0.733,1.148,4.148
RussianFederation2688,0,0.369,0.785,1.231,4.231
RussianFederation2689,0,0.664,1.428,2.254,5.254
RussianFederation2690,0,0.389,0.828,1.3,4.3
RussianFederation2691,0,0.318,0.674,1.054,4.054
RussianFederation2692,0,0.29,0.613,0.957,3.957
RussianFederation2737,0,0.205,0.425,0.656,3.656
RussianFederation2734,0,0.138,0.282,0.429,3.429
RussianFederation2730,0,0.192,0.401,0.62,3.62
RussianFederation2732,0,0.18,0.373,0.574,3.574
RussianFederation2726,0,0.253,0.534,0.832,3.832
RussianFederation2727,0,0.262,0.553,0.861,3.861
RussianFederation2728,0,0.315,0.668,1.044,4.044
RussianFederation2729,0,0.251,0.529,0.823,3.823
RussianFederation9279,0,0.318,0.674,1.055,4.055
RussianFederation9280,0,0.543,1.164,1.833,4.833
RussianFederation9281,0,0.618,1.327,2.094,5.094
RussianFederation2731,0,0.246,0.513,0.793,3.793
RussianFederation2733,0,0.159,0.328,0.502,3.502
RussianFederation2735,0,0.145,0.295,0.451,3.451
RussianFederation2736,0,0.153,0.313,0.479,3.479
RussianFederation9278,0,0.275,0.577,0.895,3.895
RussianFederation2532,0,0.135,0.274,0.418,3.418
RussianFederation2533,0,0.154,0.316,0.484,3.484
RussianFederation2534,0,0.164,0.336,0.516,3.516
RussianFederation2535,0,0.167,0.342,0.526,3.526
RussianFederation2536,0,0.208,0.43,0.665,3.665
RussianFederation2537,0,0.176,0.362,0.558,3.558
RussianFederation2538,0,0.253,0.525,0.816,3.816
RussianFederation2539,0,0.163,0.335,0.515,3.515
RussianFederation2554,0,0.205,0.424,0.656,3.656
RussianFederation2555,0,0.156,0.319,0.49,3.49
RussianFederation2540,0,0.195,0.404,0.625,3.625
RussianFederation2541,0,0.434,0.914,1.436,4.436
RussianFederation2542,0,0.271,0.567,0.884,3.884
RussianFederation2543,0,0.267,0.559,0.871,3.871
RussianFederation2544,0,0.364,0.766,1.2,4.2
RussianFederation2545,0,0.317,0.665,1.039,4.039
RussianFederation2552,0,0.155,0.317,0.486,3.486
