segments,s1,s10,s100,s1000,smax
China10289,0,0.269642734738506,0.49165876927858654,0.7096426131450306,4.774309406968273
China10350,0,1.1426358796268534,1.3545601326914545,1.5626354790836405,2.2076356698185036
China10439,0,0.3783202359715041,0.6154738073853556,0.8483202645817336,2.824320340875679
China2320,0,0.06494043129221522,0.4080561893892329,0.7449403788401279,6.178940126116434
China2321,0,0.18834153771987694,0.5365031715169177,0.8783415949403359,4.883341585403593
China2322,0,0.34843370491448145,0.6764119562131619,0.998433561863334,3.2544336763042523
China2323,0,1.4845846236295959,1.8327462574266367,2.174584680850055,6.903584547335651
China2324,0,0.6524674197820226,0.9804457913824352,1.3024675151494542,4.350307999768594
China2325,0,0.6109352653878299,0.9389136369882425,1.2609353607552616,5.210848343695936
China2326,0,0.4098509673972279,0.7403522467722186,1.064851057996288,4.6008212747473864
China2327,0,0.5486759073647094,0.881700094514279,1.2086759931953979,3.1726759550484256
China2328,0,0.3077548781082582,0.6609622071527239,1.007754687373395,2.584754916255231
China2329,0,0.1064478222898142,0.4596552716360125,0.80644786997353,5.449447860436787
China2330,0,0.1964441428249084,0.5446057766219496,0.8864442000453674,4.543777244097491
China2331,0,0.2975271930426375,0.6507345220871033,0.9975270023077742,2.65352723118961
China2332,0,0.3025849947592274,0.6557923238036931,1.0025848040243641,2.5965850329061997
China2333,0,0.024820921532243412,0.3729825553292844,0.7148209787527025,6.6438209358373586
China2334,0,0.12654168631440843,0.4847948910588977,0.8365416052520915,5.007208232182328
China2335,0,0.32508641702157437,0.6782937460660401,1.025086226286711,2.5650864551685473
China2336,0,0.31029171100995656,0.6685448556035793,1.0202915107383501,3.3612916061057816
China2337,0,0.4555126703245702,0.8238575663182393,1.1855126893980565,2.3535125940306245
China2338,0,0.4176206983368971,0.7859655943305661,1.1476207174103834,1.8966206220429518
China2339,0,0.1591220876335735,0.5325127991764,0.8991220971703167,4.968899740374051
China2340,0,0.26829948510139445,0.5912319509263506,0.9082994111916349,4.955760970010452
China2310,0,0.47806463703879754,0.7505389172967485,1.0180645988918249,2.6580646179653113
China2311,0,0.14928504775324514,0.4268051435603536,0.6992850000695293,5.80128503344813
China2312,0,0.40550792936294755,0.713303038766731,1.0155080628773518,3.046508005656893
China2313,0,0.32510811061660183,0.6379490355695423,0.945108234594263,3.9001081583003177
China2314,0,0.08779281497600688,0.43090857307302455,0.7677927625239195,6.2006389119684995
China2315,0,0.24698876934118985,0.5648754948055714,0.8769888539797854,5.334274556685169
