NA,s10,s100,s1000,smax,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,length,popdens,wetland,psig0,psig0coef,psigA,psigB,rsig0,rsigA,rsigB
Brazil4964,0.14,0.287,0.438,3.438,855,112,99,89,70,83.66666667,83.66666667,83.66666667,56,56,56,56,50.75,50.75,50.75,400.588,49.854,442.858,1.663242867,39.26531585,0.054919392,36.51727849,1.663242867,0.160499264,50.60685473
Brazil4965,0.152,0.311,0.477,3.477,399,69,47,41,47,42.33333333,42.33333333,42.33333333,29.25,29.25,29.25,29.25,28.5,28.5,28.5,104.818,101.95,20.332,0.390620988,8.291652587,0.057261927,31.98873527,0.390620988,0.162567264,44.64645469
Brazil8441,0.222,0.459,0.712,3.712,138,9,4,7,2,3,3,3,2.5,2.5,2.5,2.5,2,2,2,44.61,86.288,14.93,0.69615004,14.78069216,0.053359836,32.76589559,0.69615004,0.161835049,44.80389629
Brazil8442,0.19,0.393,0.606,3.606,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.154,441.29,0,0.125569229,2.882433027,0.053525451,35.46457538,0.125569229,0.163162891,48.46909945
Brazil8443,0.173,0.355,0.545,3.545,37,5,6,5,3,3.333333333,3.333333333,3.333333333,1.25,1.25,1.25,1.25,1.75,1.75,1.75,35.408,103.057,0.767,0.031983796,0.720701135,0.054154913,34.57665265,0.031983796,0.159563444,47.68359678
Brazil8448,0.22,0.455,0.706,3.706,321,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,1,1,1,65.085,37.088,28.825,0.031098365,0.720561708,0.054888334,35.34232119,0.031098365,0.158872935,49.14464002
Brazil4966,0.205,0.425,0.657,3.657,543,102,94,83,70,65,65,65,48.25,48.25,48.25,48.25,49,49,49,122.924,15.754,12,0.422890648,9.370221759,0.056525788,33.66528007,0.422890648,0.163995992,46.62418387
Brazil4967,0.208,0.432,0.669,3.669,1023,197,157,139,138,133.3333333,133.3333333,133.3333333,115,115,115,115,105.75,105.75,105.75,252.528,13.921,185.485,0.029764778,0.721172623,0.050496886,37.33538152,0.029764778,0.153473749,51.47535228
Brazil4968,0.202,0.42,0.649,3.649,367,49,45,42,35,36.66666667,36.66666667,36.66666667,35.25,35.25,35.25,35.25,36.25,36.25,36.25,67.647,27.903,62.307,0.029386625,0.720422323,0.052571016,37.15117246,0.029386625,0.160298731,50.97156004
Brazil4947,0.206,0.425,0.657,3.657,548,131,111,93,117,87.66666667,87.66666667,87.66666667,77.75,77.75,77.75,77.75,67.75,67.75,67.75,111.358,125.305,48.314,0.119544969,2.881452227,0.054516231,37.05916612,0.119544969,0.157038636,51.55565689
Brazil4948,0.187,0.385,0.593,3.593,271,22,10,9,5,7.666666667,7.666666667,7.666666667,15.25,15.25,15.25,15.25,17.5,17.5,17.5,17.89,70.94,36.005,1.005266618,24.13399151,0.055536741,36.65579294,1.005266618,0.156955589,50.86640731
Brazil4949,0.187,0.387,0.597,3.597,178,66,48,43,41,28.66666667,28.66666667,28.66666667,27.5,27.5,27.5,27.5,16.5,16.5,16.5,65.173,55.594,16.067,9.448591528,68.38099066,0.061653909,10.3298654,9.448591528,0.191596673,13.81176139
Brazil4950,0.453,0.952,1.496,4.496,11,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5.46,1408.83,0,13.01514699,101.1804451,0.062808531,11.05578202,13.01514699,0.184663888,15.27112985
Brazil4951,0.183,0.377,0.582,3.582,44,7,4,1,6,4,4,4,7,7,7,7,9.75,9.75,9.75,46.913,49.421,36.335,2.714245865,23.70093535,0.061634394,12.51673409,2.714245865,0.182826843,17.22900193
Brazil4952,0.196,0.405,0.627,3.627,1,1,1,1,1,0.666666667,0.666666667,0.666666667,0,0,0,0,0,0,0,1.12,867.378,0,23.48936229,292.407488,0.061077044,18.09657271,23.48936229,0.181865558,24.93689737
Brazil4953,0.219,0.453,0.702,3.702,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.068,222.27,0,3.373775524,21.26198646,0.059076115,9.080714618,3.373775524,0.188842326,12.1569022
Brazil4954,0.258,0.536,0.834,3.834,4,2,1,3,1,1.333333333,1.333333333,1.333333333,0,0,0,0,0,0,0,2.961,867.378,0,0.222840975,1.105535073,0.051041273,7.328875248,0.222840975,0.190288407,9.486418153
Brazil4955,0.347,0.727,1.139,4.139,165,18,17,11,14,8.666666667,8.666666667,8.666666667,8,8,8,8,4.25,4.25,4.25,29.536,1600.02,210.305,0.896914127,4.422502407,0.054283051,7.220807117,0.896914127,0.191852239,9.468948497
Brazil4970,0.262,0.547,0.853,3.853,613,88,91,88,74,65.33333333,65.33333333,65.33333333,65.25,65.25,65.25,65.25,63.25,63.25,63.25,90.448,34.856,22.8575,0.747428439,3.685418672,0.05325909,7.238149496,0.747428439,0.191857434,9.46878223
Brazil4969,0.28,0.586,0.915,3.915,515,47,41,44,36,43,43,43,36,36,36,36,29.75,29.75,29.75,59.029,31.344,9.982,1.868535422,9.213439147,0.056152018,7.196901508,1.868535422,0.192882439,9.477232337
Brazil4971,0.179,0.37,0.571,3.571,50,8,8,6,4,4.666666667,4.666666667,4.666666667,4.5,4.5,4.5,4.5,5,5,5,16.865,442.277,0,0.663132511,2.595325827,0.047139348,6.052473069,0.663132511,0.191233663,7.544142994
Brazil4972,0.22,0.457,0.709,3.709,22,5,8,5,3,4.333333333,4.333333333,4.333333333,3.5,3.5,3.5,3.5,2.75,2.75,2.75,19.306,2436.04,25.336,0.957927935,4.429736982,0.05367272,6.820605213,0.957927935,0.193529163,8.866026832
Brazil4973,0.168,0.346,0.532,3.532,4,2,1,1,2,1,1,1,0.75,0.75,0.75,0.75,2,2,2,3.614,673.519,0,0.939608436,8.025692147,0.061434951,12.23799166,0.939608436,0.186670925,16.66358111
Brazil4974,0.166,0.341,0.525,3.525,84,12,8,10,9,7,7,7,7,7,7,7,4.75,4.75,4.75,41.6,1466.82,6.064,4.004197798,35.41106396,0.061277789,12.74137584,4.004197798,0.184862533,17.38722404
Brazil4975,0.176,0.362,0.557,3.557,117,23,20,23,20,21,21,21,16.25,16.25,16.25,16.25,18.75,18.75,18.75,113.604,99.701,50.278,11.3853031,157.1168959,0.058856997,20.22299049,11.3853031,0.176067678,27.69663994
Brazil4976,0.216,0.449,0.697,3.697,29,10,7,8,6,5.333333333,5.333333333,5.333333333,4.5,4.5,4.5,4.5,4.5,4.5,4.5,18.329,36.222,1.14,0.107556861,2.521736015,0.055357724,35.72666794,0.107556861,0.158556786,49.80348697
Brazil4688,0.123,0.25,0.379,3.379,45,8,6,4,4,3.333333333,3.333333333,3.333333333,3.5,3.5,3.5,3.5,4.25,4.25,4.25,165.391,86.14,0,0.121621257,1.091782198,0.060959183,12.77231207,0.121621257,0.176279686,17.87559005
Brazil4698,0.12,0.244,0.37,3.37,243,5,7,6,12,6.333333333,6.333333333,6.333333333,5.25,5.25,5.25,5.25,5.5,5.5,5.5,184.319,59.949,241.746,0.085196891,0.728541958,0.055761412,12.47444526,0.085196891,0.186358996,16.42083859
Brazil4699,0.155,0.319,0.489,3.489,9,1,1,4,3,1.666666667,1.666666667,1.666666667,1.75,1.75,1.75,1.75,2,2,2,4.882,268.014,0,0.063051126,0.725737434,0.054828019,16.70110958,0.063051126,0.178430086,22.54869678
Brazil4700,0.161,0.33,0.507,3.507,139,28,25,25,32,17.66666667,17.66666667,17.66666667,17,17,17,17,12.5,12.5,12.5,33.089,4634.76,38.4,0.062708046,0.725686342,0.053872413,16.8414705,0.062708046,0.178932964,22.61548597
Brazil4701,0.177,0.366,0.565,3.565,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,370.102,0,0.063255414,0.725389737,0.059444747,16.58103632,0.063255414,0.180903519,22.49981362
Brazil4702,0.21,0.436,0.677,3.677,48,1,1,1,1,1.333333333,1.333333333,1.333333333,0.5,0.5,0.5,0.5,0.75,0.75,0.75,71.807,83.369,45.872,0.24277102,3.25917709,0.057289573,19.53538535,0.24277102,0.175719195,26.71362855
Brazil4703,0.189,0.391,0.604,3.604,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4.659,318.981,0,0.049849747,0.723457337,0.060308845,20.98454398,0.049849747,0.174951337,29.18606183
Brazil4704,0.175,0.362,0.558,3.558,181,25,26,18,18,13.33333333,13.33333333,13.33333333,13.5,13.5,13.5,13.5,12.25,12.25,12.25,95.114,4353.14,31.205,0.100768277,1.447505629,0.049270967,21.82899262,0.100768277,0.17428684,28.70287458
Brazil4705,0.178,0.369,0.57,3.57,57,18,12,14,10,10.33333333,10.33333333,10.33333333,11,11,11,11,8.25,8.25,8.25,24.699,329.398,49.908,0.152081665,2.171562752,0.0552903,20.97510266,0.152081665,0.173993804,28.49176975
Brazil4706,0.213,0.443,0.688,3.688,64,10,13,9,7,9,9,9,7.25,7.25,7.25,7.25,6.5,6.5,6.5,43.514,3071.1,77.386,0.851784718,9.434445564,0.061628903,15.96405372,0.851784718,0.184778928,21.92488417
Brazil4707,0.167,0.344,0.53,3.53,201,10,6,11,11,7.333333333,7.333333333,7.333333333,7,7,7,7,7.75,7.75,7.75,79.287,159.775,9.612,0.254146848,3.259898206,0.061542437,18.49134044,0.254146848,0.180954414,25.55396492
Brazil4708,0.158,0.324,0.498,3.498,207,1,1,3,1,1,1,1,0.5,0.5,0.5,0.5,1.75,1.75,1.75,18.637,241.325,16.5,0.72163016,6.908424651,0.061472364,13.78985911,0.72163016,0.183205311,18.82501954
Brazil4709,0.299,0.628,0.982,3.982,559,29,24,27,21,18.33333333,18.33333333,18.33333333,16.25,16.25,16.25,16.25,14.75,14.75,14.75,61.079,170.888,29.701,0.121993185,2.882975524,0.05989675,35.985538,0.121993185,0.167379545,49.92204501
Brazil4977,0.227,0.473,0.736,3.736,2072,283,229,189,165,147.6666667,147.6666667,147.6666667,73,73,73,73,47.25,47.25,47.25,187.067,51.371,2.513,0.555692491,13.3360138,0.055827614,36.49155322,0.555692491,0.161817648,50.51672315
Brazil8528,0.135,0.275,0.42,3.42,21,1,2,1,2,1,1,1,1.25,1.25,1.25,1.25,1.25,1.25,1.25,77.626,107.007,134.484,0.267397147,1.829763992,0.05745192,9.750938778,0.267397147,0.189370104,13.04879244
Brazil4662,0.167,0.343,0.528,3.528,244,10,21,11,16,12.33333333,12.33333333,12.33333333,8.75,8.75,8.75,8.75,8.75,8.75,8.75,76.914,42.586,33.17,0.162994369,1.457470067,0.063360966,12.39907394,0.162994369,0.184077779,17.09287981
Brazil4665,0.147,0.301,0.461,3.461,706,40,32,35,25,21.33333333,21.33333333,21.33333333,21,21,21,21,17,17,17,282.466,46.491,400.413,1.411671809,13.45757117,0.061496074,13.54017008,1.411671809,0.184325073,18.48840405
Brazil4630,0.132,0.268,0.409,3.409,34,3,11,7,5,5.333333333,5.333333333,5.333333333,7,7,7,7,5.25,5.25,5.25,23.595,43.843,42,0.226802123,1.826026614,0.061147575,11.41884492,0.226802123,0.185295933,15.58722285
Brazil4631,0.144,0.294,0.449,3.449,137,67,53,12,9,4.333333333,4.333333333,4.333333333,3,3,3,3,3.25,3.25,3.25,22.673,56.761,10.123,0.1763295,1.816417448,0.060820811,14.7541632,0.1763295,0.181411827,20.1119666
Brazil4632,0.155,0.316,0.485,3.485,277,180,218,139,147,55.66666667,55.66666667,55.66666667,54,54,54,54,45,45,45,102.947,93.521,0,0.104024243,1.806265657,0.0617709,25.7996064,0.104024243,0.18011254,35.48826486
Brazil4633,0.119,0.242,0.367,3.367,1,1,6,1,1,3,3,3,2.75,2.75,2.75,2.75,14.75,14.75,14.75,20.445,134.565,0.144,0.334468825,2.912810759,0.063272537,12.26038913,0.334468825,0.1882797,16.79089924
Brazil4634,0.124,0.252,0.383,3.383,3,1,1,1,1,1,1,1,1.75,1.75,1.75,1.75,10.25,10.25,10.25,17.238,478.978,3.445,0.214987849,2.179679537,0.063198189,14.31380708,0.214987849,0.187654543,19.74869398
Brazil4635,0.11,0.221,0.334,3.334,1,2,2,1,1,1,1,1,3.25,3.25,3.25,3.25,10.75,10.75,10.75,18.172,226.504,7.657,0.680059327,6.543930847,0.064688239,13.49495683,0.680059327,0.186108128,18.83070091
Brazil4636,0.119,0.241,0.366,3.366,3,1,3,1,1,1.333333333,1.333333333,1.333333333,0.75,0.75,0.75,0.75,2.5,2.5,2.5,7.012,330.348,0,0.109539435,0.732721916,0.065320521,9.01484706,0.109539435,0.191089515,12.436981
Brazil4637,0.16,0.327,0.502,3.502,259,97,122,169,138,93,93,93,38.25,38.25,38.25,38.25,25,25,25,136.78,133.129,240.336,0.539201076,4.374134036,0.063702006,11.40753716,0.539201076,0.191796857,15.55324274
Brazil4656,0.128,0.261,0.396,3.396,33,1,11,3,1,5.666666667,5.666666667,5.666666667,2.25,2.25,2.25,2.25,3,3,3,21.434,176.219,0,0.422201944,2.924246712,0.064171113,9.647338386,0.422201944,0.188506091,13.40076637
Brazil4657,0.127,0.258,0.392,3.392,10,1,3,1,1,0.666666667,0.666666667,0.666666667,1,1,1,1,1,1,1,9.289,357.507,0,0.522805717,1.859539636,0.043975817,5.614514838,0.522805717,0.195553912,6.733787975
Brazil4658,0.123,0.249,0.379,3.379,8,1,1,1,1,0,0,0,0.25,0.25,0.25,0.25,0.5,0.5,0.5,4.645,844.245,0,0.221425046,2.181719741,0.057723222,13.99040295,0.221425046,0.185579436,18.94884596
Brazil4659,0.126,0.254,0.386,3.386,1,1,1,1,1,0,0,0,1.5,1.5,1.5,1.5,8,8,8,9.289,744.49,0,0.134837485,1.452766189,0.059316586,15.20291518,0.134837485,0.183830522,20.73990288
Brazil4660,0.121,0.244,0.37,3.37,25,5,3,4,4,5.666666667,5.666666667,5.666666667,12.75,12.75,12.75,12.75,35,35,35,56.02,109.093,0,0.280709285,2.548271812,0.058846,12.75185011,0.280709285,0.18732903,17.38056751
Brazil4661,0.132,0.269,0.41,3.41,21,4,4,1,6,2.666666667,2.666666667,2.666666667,2,2,2,2,2,2,2,11.642,54.507,0,0.294878452,3.626182426,0.061459594,17.33551457,0.294878452,0.181071681,23.89212116
Brazil4663,0.136,0.277,0.422,3.422,47,1,4,2,1,1.333333333,1.333333333,1.333333333,0.75,0.75,0.75,0.75,1.5,1.5,1.5,10.096,273.767,15.509,0.093393325,1.088499885,0.059772736,16.39259956,0.093393325,0.180510971,22.52713983
Brazil4664,0.144,0.294,0.449,3.449,92,24,19,14,15,13,13,13,11,11,11,11,8.5,8.5,8.5,42.432,54.448,26.832,0.078262496,0.727442761,0.062399265,13.06577948,0.078262496,0.186831185,17.87733279
Brazil8451,0.232,0.483,0.75,3.75,177,17,8,6,5,4.333333333,4.333333333,4.333333333,3.25,3.25,3.25,3.25,2.5,2.5,2.5,77.402,56.783,12.55,0.102577148,1.448367514,0.060656735,20.22631398,0.102577148,0.178851062,27.51595325
Brazil8472,0.149,0.304,0.465,3.465,46,23,13,11,3,11,11,11,8.75,8.75,8.75,8.75,36.25,36.25,36.25,117.303,605.183,17.481,0.234695019,3.259278076,0.061289433,19.92506129,0.234695019,0.180070169,27.08920004
Brazil4616,0.219,0.456,0.709,3.709,1991,183,470,359,500,1571.666667,1571.666667,1571.666667,258.75,258.75,258.75,258.75,113.5,113.5,113.5,845,32.529,0,0.049759719,0.723913306,0.059791467,20.68935559,0.049759719,0.174715068,28.61324324
Brazil4597,0.26,0.544,0.849,3.849,2,124,13,25,42,28,28,28,33.25,33.25,33.25,33.25,34.25,34.25,34.25,18.147,2.636,1311.58,0.052373353,0.724268268,0.058813406,19.63828024,0.052373353,0.176241452,27.03271139
Brazil4598,0.269,0.564,0.881,3.881,365,1,3,25,39,56,56,56,160.25,160.25,160.25,160.25,151.75,151.75,151.75,55.908,2.636,50.9925,6.464701338,61.45187145,0.063394002,13.51817061,6.464701338,0.188310604,18.67841973
Brazil4602,0.195,0.404,0.625,3.625,811,818,22,37,82,154.3333333,154.3333333,154.3333333,265,265,265,265,215.5,215.5,215.5,126.761,17.872,0,0.898666437,8.01853418,0.064333672,12.5059582,0.898666437,0.189947467,17.13694755
Brazil4617,0.287,0.6,0.936,3.936,1,1,2,1,1,1.333333333,1.333333333,1.333333333,1.25,1.25,1.25,1.25,0.5,0.5,0.5,1.87,698.364,0,0.57848594,5.103203477,0.063788372,12.36678458,0.57848594,0.18764208,16.9478583
Brazil4618,0.215,0.445,0.69,3.69,72,14,16,24,15,47,47,47,35.5,35.5,35.5,35.5,17,17,17,39.376,2515.52,0,0.510674192,4.376499524,0.06146236,12.11047026,0.510674192,0.190323973,16.33214605
Brazil4619,0.344,0.722,1.13,4.13,141,48,29,30,26,94,94,94,104.5,104.5,104.5,104.5,23.25,23.25,23.25,11.108,908.571,0,0.14424216,1.095909299,0.058328185,10.70349198,0.14424216,0.18687956,14.42256128
Brazil4620,0.269,0.563,0.878,3.878,987,290,343,333,328,407,407,407,387.25,387.25,387.25,387.25,246.25,246.25,246.25,385.236,53.28,22.6,0.200364275,2.177797666,0.062485009,15.40418761,0.200364275,0.184002083,21.11991323
Brazil4672,0.144,0.295,0.451,3.451,129,16,7,14,18,10.33333333,10.33333333,10.33333333,17.5,17.5,17.5,17.5,30.25,30.25,30.25,87.223,8.022,580.008,1.208326278,11.64776386,0.064920168,13.4803452,1.208326278,0.186756517,18.68681723
Brazil4673,0.153,0.314,0.481,3.481,89,41,75,85,134,113.3333333,113.3333333,113.3333333,129.5,129.5,129.5,129.5,138.75,138.75,138.75,119.3,28.573,707.404,1.180306462,7.692013319,0.061188781,9.136715854,1.180306462,0.191437475,12.38663813
Brazil4674,0.143,0.293,0.448,3.448,8,5,5,4,3,3.333333333,3.333333333,3.333333333,3.75,3.75,3.75,3.75,3,3,3,44.291,99.545,53.402,1.147510199,5.889978497,0.056865418,7.344020361,1.147510199,0.195718132,9.671956728
Brazil4675,0.133,0.271,0.413,3.413,21,5,7,3,1,3,3,3,1.5,1.5,1.5,1.5,2,2,2,25.884,757.635,0,0.586534157,2.946467231,0.056741884,7.174595259,0.586534157,0.191717784,9.565023628
Brazil4676,0.122,0.248,0.376,3.376,18,1,1,1,4,1,1,1,1,1,1,1,0.75,0.75,0.75,10.483,1262.3,64.05,1.129200157,5.528025101,0.056045781,7.047690351,1.129200157,0.19641981,9.26760525
Brazil4677,0.13,0.263,0.401,3.401,19,1,1,1,4,0.666666667,0.666666667,0.666666667,0.75,0.75,0.75,0.75,1.5,1.5,1.5,19.92,745.231,31.477,1.028316071,6.235840046,0.06122149,8.486542549,1.028316071,0.191708927,11.5187403
Brazil4678,0.515,1.09,1.718,4.718,40,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7.489,1371.72,2.463,3.250974659,19.80810177,0.060298739,8.620310598,3.250974659,0.190659917,11.61952779
Brazil4679,0.254,0.531,0.828,3.828,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.741,1391,0.369,0.186601136,1.461302446,0.063704944,10.87388435,0.186601136,0.191975043,14.73943982
Brazil4680,0.203,0.42,0.651,3.651,56,1,1,1,1,0.333333333,0.333333333,0.333333333,0.5,0.5,0.5,0.5,0.25,0.25,0.25,31.209,1395.83,8.1,0.326621447,2.197659387,0.06300356,9.33502254,0.326621447,0.192280804,12.52916736
Brazil4681,0.26,0.543,0.847,3.847,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4.548,1097.45,0.042,0.386957067,2.205277056,0.061672335,7.937630891,0.386957067,0.197802829,10.52128332
Brazil4682,0.259,0.542,0.845,3.845,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3.761,1381.99,0,0.691414789,4.400653504,0.063633914,8.85554125,0.691414789,0.194073703,11.95106805
Brazil4683,0.259,0.542,0.844,3.844,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3.426,966.03,0,1.742799876,10.63827984,0.060590818,8.690748071,1.742799876,0.189092744,11.75363906
Brazil4684,0.584,1.239,1.954,4.954,43,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4.789,1385.62,1.694,0.171138986,1.099365914,0.056066498,9.215956234,0.171138986,0.186426717,12.31246396
Brazil4685,0.146,0.298,0.455,3.455,17,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7.386,982.195,6.635,1.290194182,10.22370041,0.062037666,11.30979677,1.290194182,0.189829991,15.2982366
Brazil4686,0.136,0.277,0.422,3.422,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.373,781.44,0,0.376072157,2.562532353,0.061108614,9.574260801,0.376072157,0.187131273,13.04386934
Brazil4687,0.13,0.264,0.402,3.402,81,2,5,4,4,3.666666667,3.666666667,3.666666667,3.75,3.75,3.75,3.75,2.75,2.75,2.75,38.486,659.311,1114.578,0.274289654,1.471245171,0.052279267,7.864232278,0.274289654,0.190041429,10.26806053
Brazil8457,0.134,0.272,0.415,3.415,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.829,1372.69,0,1.965727498,17.49512465,0.062864266,12.66712939,1.965727498,0.183584489,17.50960986
Brazil8458,0.135,0.275,0.42,3.42,17,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4.643,753.599,0.329,0.174886441,2.17405852,0.061089135,17.94824866,0.174886441,0.177852839,24.9276203
Brazil8459,0.155,0.319,0.49,3.49,43,6,5,3,1,0.333333333,0.333333333,0.333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.25,15.161,1427.7,0.082,0.060893371,1.083733751,0.059576913,25.80042869,0.060893371,0.171937731,35.47815387
Brazil8460,0.378,0.795,1.248,4.248,16,1,1,5,7,6.666666667,6.666666667,6.666666667,0.5,0.5,0.5,0.5,0,0,0,12.071,824.228,0.962,0.101549038,1.806073898,0.05549251,26.37744453,0.101549038,0.167538651,36.07098229
Brazil8461,0.188,0.389,0.601,3.601,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.615,1169.98,0,0.289577064,1.833800748,0.058418742,8.952999757,0.289577064,0.187645253,12.07609595
Brazil8474,0.112,0.226,0.341,3.341,2,3,2,2,1,1.333333333,1.333333333,1.333333333,0.75,0.75,0.75,0.75,0.75,0.75,0.75,88.204,42.298,40.5375,0.115172413,0.736955885,0.056099058,9.048496597,0.115172413,0.183452575,12.2213201
Brazil4945,0.166,0.336,0.516,3.516,7,1,3,1,4,1.666666667,1.666666667,1.666666667,1,1,1,1,1.5,1.5,1.5,4.332,581.748,0,1.642941802,10.6698886,0.064833647,8.969145811,1.642941802,0.193411333,12.25401683
Brazil4946,0.192,0.391,0.604,3.604,153,20,18,14,21,14,14,14,12.25,12.25,12.25,12.25,9.75,9.75,9.75,35.224,1234.3,49.831,0.364534174,2.561127955,0.064035944,9.688179545,0.364534174,0.176845664,13.70288916
Chile3966,0.104,0.209,0.314,3.314,369,16,12,8,10,9.333333333,9.333333333,9.333333333,8.5,8.5,8.5,8.5,6.75,6.75,6.75,361.1,35.28,0,1.220764996,9.137765094,0.06346195,10.54644874,1.220764996,0.192428268,14.30002663
Chile3973,0.108,0.218,0.328,3.328,28,3,2,5,1,2,2,2,2.25,2.25,2.25,2.25,0.5,0.5,0.5,167.677,5.83,0,0.753062677,5.843431958,0.064557804,10.8011596,0.753062677,0.193322229,14.59287423
Chile3975,0.114,0.23,0.347,3.347,48,2,2,3,3,3.333333333,3.333333333,3.333333333,2,2,2,2,2.75,2.75,2.75,33.049,2.092,5,1.697331433,12.43080955,0.062335706,10.40041682,1.697331433,0.194725032,13.88093502
Chile3976,0.105,0.211,0.317,3.317,33,1,3,5,1,2.333333333,2.333333333,2.333333333,2.25,2.25,2.25,2.25,1.75,1.75,1.75,83.408,5.496,0,0.190348127,1.45956817,0.061119783,10.85752557,0.190348127,0.189988947,14.7299163
Chile3977,0.112,0.226,0.341,3.341,6,3,2,3,4,0.666666667,0.666666667,0.666666667,1.5,1.5,1.5,1.5,1.5,1.5,1.5,36.197,8.963,0,0.442604144,3.290714369,0.062321214,10.47576034,0.442604144,0.191736993,14.13070553
Chile3978,0.106,0.214,0.322,3.322,463,6,5,6,1,3.333333333,3.333333333,3.333333333,3.25,3.25,3.25,3.25,9,9,9,289.592,3.325,69.528,0.160982235,1.098325154,0.0616952,9.435640418,0.160982235,0.190433433,12.81479599
Chile3980,0.109,0.218,0.329,3.329,727,14,6,8,14,11.33333333,11.33333333,11.33333333,13,13,13,13,15.5,15.5,15.5,384.809,2.815,0,0.731709207,4.404207197,0.062863437,8.368495364,0.731709207,0.193721685,11.34597003
Chile3981,0.109,0.218,0.329,3.329,473,7,14,10,11,15,15,15,20.75,20.75,20.75,20.75,27,27,27,376.082,24.968,14.9385,0.123827037,0.734280425,0.056792104,8.402102323,0.123827037,0.188178818,11.24267601
Chile3983,0.123,0.249,0.377,3.377,78,7,5,12,7,8.333333333,8.333333333,8.333333333,7.75,7.75,7.75,7.75,7,7,7,78.609,38.423,0.0075,0.122938222,0.734260312,0.056591214,8.46171491,0.122938222,0.186664683,11.29544522
Chile3984,0.118,0.238,0.361,3.361,47,4,5,5,1,3.333333333,3.333333333,3.333333333,2.25,2.25,2.25,2.25,3.75,3.75,3.75,47.564,1496.78,4.66,0.345783997,4.34756648,0.060960528,18.21521717,0.345783997,0.177678627,25.22964331
Chile3985,0.12,0.243,0.368,3.368,1,1,1,1,1,0,0,0,0.25,0.25,0.25,0.25,0,0,0,4.887,829.591,0,1.356471283,9.895145966,0.06327789,10.22442011,1.356471283,0.191857954,13.84713109
Chile3986,0.124,0.253,0.384,3.384,112,17,15,12,17,12,12,12,15,15,15,15,16,16,16,98.58,62.776,17.68,1.928848847,24.63184549,0.061124234,18.60529687,1.928848847,0.181591352,25.61305397
Chile3992,0.125,0.254,0.386,3.386,62,8,1,3,5,4.666666667,4.666666667,4.666666667,4.5,4.5,4.5,4.5,3.25,3.25,3.25,94.017,17.426,0.34,3.259956091,17.65105273,0.057329738,7.851704387,3.259956091,0.190730113,10.45033963
Chile3993,0.121,0.244,0.37,3.37,144,16,19,20,14,11.66666667,11.66666667,11.66666667,9.75,9.75,9.75,9.75,11.25,11.25,11.25,178.986,27.154,0.2175,0.583378594,4.386653054,0.062843376,10.62367534,0.583378594,0.189876706,14.4178045
Chile3996,0.121,0.245,0.373,3.373,42,6,6,7,2,2.666666667,2.666666667,2.666666667,10.75,10.75,10.75,10.75,24.75,24.75,24.75,59.345,36.234,2.55,0.24376324,1.827536531,0.060244565,10.63796652,0.24376324,0.187255127,14.23644924
Chile3997,0.123,0.25,0.379,3.379,28,2,1,2,3,1.666666667,1.666666667,1.666666667,2,2,2,2,1.5,1.5,1.5,29.59,72.51,0,0.610228538,5.466890922,0.061589972,12.83866034,0.610228538,0.186698312,17.37098361
Chile3998,0.131,0.265,0.404,3.404,171,14,11,6,7,6.333333333,6.333333333,6.333333333,5.75,5.75,5.75,5.75,4.5,4.5,4.5,32.391,1519.24,0,3.992126149,12.30162887,0.041635257,5.249506392,3.992126149,0.193763769,6.184010908
Chile3999,0.128,0.26,0.396,3.396,48,2,15,6,8,11.33333333,11.33333333,11.33333333,6.75,6.75,6.75,6.75,4.5,4.5,4.5,32.933,350.759,0,1.789710687,27.48519349,0.057747228,22.73075631,1.789710687,0.174253275,30.84244669
Chile4000,0.139,0.285,0.435,3.435,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1.135,284.364,0,1.08322338,6.243660862,0.058455328,8.249539463,1.08322338,0.184844847,11.17621131
Chile4013,0.123,0.249,0.378,3.378,128,19,21,15,22,17.33333333,17.33333333,17.33333333,18,18,18,18,12.5,12.5,12.5,170.077,38.564,14.3565,0.505626437,3.656623343,0.06445089,10.00371042,0.505626437,0.190683809,13.74649714
Chile4014,0.135,0.276,0.42,3.42,66,3,7,6,7,7.333333333,7.333333333,7.333333333,7,7,7,7,7.25,7.25,7.25,31.649,9.999,4.736,0.363363513,3.279876172,0.059988179,12.98200355,0.363363513,0.183967791,17.62044515
