NA,s10,s100,s1000,smax,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,length,popdens,wetland,psig0,psig0coef,psigA,psigB,rsig0,rsigA,rsigB
Philippines10649,0.107,0.216,0.325,3.325,65,3,5,1,4,1.333333333,1.333333333,1.333333333,5.25,5.25,5.25,5.25,3.25,3.25,3.25,101.925,22.637,0,0.728037651,15.50259665,0.054878768,32.50650424,0.728037651,0.163352171,44.58746104
Philippines10650,0.128,0.259,0.394,3.394,140,8,3,7,11,15.66666667,15.66666667,15.66666667,24.5,24.5,24.5,24.5,24.25,24.25,24.25,83.536,159.689,0,0.029842387,0.720359092,0.051374613,37.5848201,0.029842387,0.156719493,51.17255278
Philippines10651,0.13,0.266,0.405,3.405,1,5,3,7,2,2,2,2,3.25,3.25,3.25,3.25,2.75,2.75,2.75,11.927,246.196,0,0.105394413,2.522970639,0.055940456,36.24100958,0.105394413,0.161173553,50.23606604
Philippines10652,0.14,0.287,0.438,3.438,2,1,1,1,1,0.666666667,0.666666667,0.666666667,0.75,0.75,0.75,0.75,2,2,2,6.485,221.207,0,0.030390005,0.720448239,0.054269099,36.16530548,0.030390005,0.159573514,49.54470003
Philippines10653,0.11,0.222,0.334,3.334,18,3,2,2,4,3.666666667,3.666666667,3.666666667,5.5,5.5,5.5,5.5,11.25,11.25,11.25,42.875,57.526,6.298,1.394026639,33.14174572,0.055939204,36.19827349,1.394026639,0.158035786,50.48563661
Philippines10654,0.111,0.224,0.338,3.338,60,7,19,21,12,14,14,14,19,19,19,19,16,16,16,68.575,49.475,3.63,0.044691734,0.722978647,0.053015491,23.95718626,0.044691734,0.17151663,32.30851824
Philippines10655,0.12,0.244,0.37,3.37,15,1,1,1,1,0.333333333,0.333333333,0.333333333,1.25,1.25,1.25,1.25,2.5,2.5,2.5,29.929,71.689,1.548,0.03474129,0.721588552,0.054436098,31.29334043,0.03474129,0.167544706,41.91042694
Philippines10656,0.161,0.332,0.509,3.509,33,5,1,2,1,2.333333333,2.333333333,2.333333333,1,1,1,1,2.25,2.25,2.25,16.461,78.435,0,0.034741196,0.721588207,0.0544378,31.2933347,0.034741196,0.167544836,41.9108257
Philippines10657,0.112,0.226,0.341,3.341,1,1,1,4,1,1,1,1,2,2,2,2,1.75,1.75,1.75,4.398,145.097,0,0.032929794,0.721131341,0.050063559,34.87102948,0.032929794,0.17055858,45.33026021
Philippines10658,0.115,0.232,0.352,3.352,12,6,6,8,4,6,6,6,4.75,4.75,4.75,4.75,3.5,3.5,3.5,11.886,252.982,0,0.243126923,5.763543522,0.054708199,36.35491649,0.243126923,0.159564726,50.16323064
