"segment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Angola1220",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1221",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1222",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1223",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1224",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1225",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1226",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1227",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1228",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1229",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1230",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1231",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1232",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1233",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1234",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"Angola1235",0.036527,0.080107,0.13194,0.18881,0.25052,0.31578,0.38218,0.44904,0.51378,0.580995,0.64821,0.71413,0.7812,0.84354,0.9086,0.97559,1.0416,1.1037,1.1672,1.2357
"AntiguaandBarbuda8103",0.038464,0.085655,0.13966,0.19738,0.26301,0.32976,0.4005,0.47262,0.54057,0.614975,0.68938,0.75851,0.82589,0.89465,0.96286,1.0353,1.1044,1.1727,1.2403,1.3106
"AntiguaandBarbuda8106",0.038464,0.085655,0.13966,0.19738,0.26301,0.32976,0.4005,0.47262,0.54057,0.614975,0.68938,0.75851,0.82589,0.89465,0.96286,1.0353,1.1044,1.1727,1.2403,1.3106
"Argentina4333",0.018052,0.041941,0.073001,0.10773,0.14542,0.188,0.2342,0.27858,0.32182,0.368105,0.41439,0.45456,0.49897,0.53853,0.58045,0.62466,0.66371,0.704,0.74573,0.78594
"Argentina4334",0.018052,0.041941,0.073001,0.10773,0.14542,0.188,0.2342,0.27858,0.32182,0.368105,0.41439,0.45456,0.49897,0.53853,0.58045,0.62466,0.66371,0.704,0.74573,0.78594
"Argentina4347",0.018052,0.041941,0.073001,0.10773,0.14542,0.188,0.2342,0.27858,0.32182,0.368105,0.41439,0.45456,0.49897,0.53853,0.58045,0.62466,0.66371,0.704,0.74573,0.78594
"Argentina4348",0.018052,0.041941,0.073001,0.10773,0.14542,0.188,0.2342,0.27858,0.32182,0.368105,0.41439,0.45456,0.49897,0.53853,0.58045,0.62466,0.66371,0.704,0.74573,0.78594
"Argentina4349",0.018052,0.041941,0.073001,0.10773,0.14542,0.188,0.2342,0.27858,0.32182,0.368105,0.41439,0.45456,0.49897,0.53853,0.58045,0.62466,0.66371,0.704,0.74573,0.78594
"Argentina4350",0.031892,0.071439,0.11709,0.16669,0.22149,0.28164,0.34295,0.40548,0.46686,0.53104,0.59522,0.65625,0.71801,0.77905,0.84203,0.90679,0.96886,1.0326,1.0943,1.1599
"Argentina4375",0.031892,0.071439,0.11709,0.16669,0.22149,0.28164,0.34295,0.40548,0.46686,0.53104,0.59522,0.65625,0.71801,0.77905,0.84203,0.90679,0.96886,1.0326,1.0943,1.1599
"Argentina4376",0.031892,0.071439,0.11709,0.16669,0.22149,0.28164,0.34295,0.40548,0.46686,0.53104,0.59522,0.65625,0.71801,0.77905,0.84203,0.90679,0.96886,1.0326,1.0943,1.1599
"Argentina4377",0.031892,0.071439,0.11709,0.16669,0.22149,0.28164,0.34295,0.40548,0.46686,0.53104,0.59522,0.65625,0.71801,0.77905,0.84203,0.90679,0.96886,1.0326,1.0943,1.1599
"Argentina4378",0.031892,0.071439,0.11709,0.16669,0.22149,0.28164,0.34295,0.40548,0.46686,0.53104,0.59522,0.65625,0.71801,0.77905,0.84203,0.90679,0.96886,1.0326,1.0943,1.1599
"Argentina4379",0.031892,0.071439,0.11709,0.16669,0.22149,0.28164,0.34295,0.40548,0.46686,0.53104,0.59522,0.65625,0.71801,0.77905,0.84203,0.90679,0.96886,1.0326,1.0943,1.1599
"Argentina4380",0.031892,0.071439,0.11709,0.16669,0.22149,0.28164,0.34295,0.40548,0.46686,0.53104,0.59522,0.65625,0.71801,0.77905,0.84203,0.90679,0.96886,1.0326,1.0943,1.1599
"Argentina4381",0.031892,0.071439,0.11709,0.16669,0.22149,0.28164,0.34295,0.40548,0.46686,0.53104,0.59522,0.65625,0.71801,0.77905,0.84203,0.90679,0.96886,1.0326,1.0943,1.1599
"Argentina4382",0.031892,0.071439,0.11709,0.16669,0.22149,0.28164,0.34295,0.40548,0.46686,0.53104,0.59522,0.65625,0.71801,0.77905,0.84203,0.90679,0.96886,1.0326,1.0943,1.1599
"Argentina4383",0.037801,0.083005,0.1346,0.19121,0.25251,0.32008,0.38881,0.45627,0.52333,0.59432,0.66531,0.73231,0.79724,0.86271,0.92993,0.99992,1.0661,1.134,1.2022,1.2757
"Argentina4413",0.037759,0.082732,0.13456,0.19103,0.25231,0.3198,0.38826,0.4559,0.52397,0.594925,0.66588,0.73335,0.7998,0.86405,0.93118,1.0017,1.0685,1.1368,1.2072,1.2791
"Argentina4467",0.037759,0.082732,0.13456,0.19103,0.25231,0.3198,0.38826,0.4559,0.52397,0.594925,0.66588,0.73335,0.7998,0.86405,0.93118,1.0017,1.0685,1.1368,1.2072,1.2791
"Argentina4468",0.029937,0.066592,0.10953,0.15769,0.21015,0.26689,0.32618,0.38432,0.44376,0.506895,0.57003,0.62714,0.68469,0.74099,0.80277,0.86471,0.92402,0.98248,1.0411,1.1036
"Argentina4469",0.029937,0.066592,0.10953,0.15769,0.21015,0.26689,0.32618,0.38432,0.44376,0.506895,0.57003,0.62714,0.68469,0.74099,0.80277,0.86471,0.92402,0.98248,1.0411,1.1036
"Argentina4474",0.029937,0.066592,0.10953,0.15769,0.21015,0.26689,0.32618,0.38432,0.44376,0.506895,0.57003,0.62714,0.68469,0.74099,0.80277,0.86471,0.92402,0.98248,1.0411,1.1036
"Argentina4492",0.029937,0.066592,0.10953,0.15769,0.21015,0.26689,0.32618,0.38432,0.44376,0.506895,0.57003,0.62714,0.68469,0.74099,0.80277,0.86471,0.92402,0.98248,1.0411,1.1036
"Argentina4493",0.028444,0.063526,0.10541,0.15282,0.20324,0.2597,0.31868,0.37549,0.43334,0.49626,0.55918,0.617,0.6743,0.73093,0.78884,0.85097,0.90924,0.96688,1.0272,1.0894
"Argentina4494",0.028444,0.063526,0.10541,0.15282,0.20324,0.2597,0.31868,0.37549,0.43334,0.49626,0.55918,0.617,0.6743,0.73093,0.78884,0.85097,0.90924,0.96688,1.0272,1.0894
"Argentina4495",0.028452,0.06352,0.1054,0.15287,0.20328,0.25967,0.31875,0.37548,0.43339,0.496285,0.55918,0.61715,0.67426,0.7312,0.78882,0.85106,0.90954,0.96686,1.0274,1.0896
"Argentina4496",0.028452,0.06352,0.1054,0.15287,0.20328,0.25967,0.31875,0.37548,0.43339,0.496285,0.55918,0.61715,0.67426,0.7312,0.78882,0.85106,0.90954,0.96686,1.0274,1.0896
"Argentina4497",0.028452,0.06352,0.1054,0.15287,0.20328,0.25967,0.31875,0.37548,0.43339,0.496285,0.55918,0.61715,0.67426,0.7312,0.78882,0.85106,0.90954,0.96686,1.0274,1.0896
"Argentina4519",0.031259,0.069269,0.11544,0.16572,0.21919,0.27599,0.33652,0.39772,0.45758,0.520455,0.58333,0.64382,0.70486,0.76343,0.82445,0.89177,0.95237,1.0107,1.0763,1.1418
"Argentina4534",0.035207,0.076736,0.12598,0.17932,0.23599,0.29696,0.36097,0.42475,0.48748,0.553095,0.61871,0.68273,0.74697,0.80837,0.87202,0.94207,1.0065,1.0704,1.1363,1.2058
"Argentina4535",0.03444,0.075153,0.12376,0.17657,0.23229,0.29236,0.35567,0.41894,0.4808,0.54579,0.61078,0.67418,0.7373,0.79833,0.86202,0.93104,0.99465,1.0563,1.1225,1.1902
"Argentina4536",0.03444,0.075153,0.12376,0.17657,0.23229,0.29236,0.35567,0.41894,0.4808,0.54579,0.61078,0.67418,0.7373,0.79833,0.86202,0.93104,0.99465,1.0563,1.1225,1.1902
"Argentina4543",0.035207,0.076736,0.12598,0.17932,0.23599,0.29696,0.36097,0.42475,0.48748,0.553095,0.61871,0.68273,0.74697,0.80837,0.87202,0.94207,1.0065,1.0704,1.1363,1.2058
"Argentina4544",0.035318,0.076932,0.12626,0.17978,0.23642,0.29759,0.36157,0.42562,0.48843,0.554095,0.61976,0.6839,0.74853,0.80984,0.87336,0.94385,1.0084,1.0722,1.1383,1.2081
"Argentina4545",0.035393,0.076804,0.1264,0.18018,0.23708,0.29769,0.36195,0.42653,0.49002,0.55571,0.6214,0.68595,0.75052,0.81357,0.87707,0.9473,1.013,1.0753,1.1431,1.2141
"Argentina4546",0.035318,0.076932,0.12626,0.17978,0.23642,0.29759,0.36157,0.42562,0.48843,0.554095,0.61976,0.6839,0.74853,0.80984,0.87336,0.94385,1.0084,1.0722,1.1383,1.2081
"Argentina4547",0.035318,0.076932,0.12626,0.17978,0.23642,0.29759,0.36157,0.42562,0.48843,0.554095,0.61976,0.6839,0.74853,0.80984,0.87336,0.94385,1.0084,1.0722,1.1383,1.2081
"Argentina4548",0.035393,0.076804,0.1264,0.18018,0.23708,0.29769,0.36195,0.42653,0.49002,0.55571,0.6214,0.68595,0.75052,0.81357,0.87707,0.9473,1.013,1.0753,1.1431,1.2141
"Argentina4549",0.035393,0.076804,0.1264,0.18018,0.23708,0.29769,0.36195,0.42653,0.49002,0.55571,0.6214,0.68595,0.75052,0.81357,0.87707,0.9473,1.013,1.0753,1.1431,1.2141
"Argentina4550",0.035393,0.076804,0.1264,0.18018,0.23708,0.29769,0.36195,0.42653,0.49002,0.55571,0.6214,0.68595,0.75052,0.81357,0.87707,0.9473,1.013,1.0753,1.1431,1.2141
"Argentina8424",0.029937,0.066592,0.10953,0.15769,0.21015,0.26689,0.32618,0.38432,0.44376,0.506895,0.57003,0.62714,0.68469,0.74099,0.80277,0.86471,0.92402,0.98248,1.0411,1.1036
"Argentina8564",0.018052,0.041941,0.073001,0.10773,0.14542,0.188,0.2342,0.27858,0.32182,0.368105,0.41439,0.45456,0.49897,0.53853,0.58045,0.62466,0.66371,0.704,0.74573,0.78594
"Argentina8566",0.018052,0.041941,0.073001,0.10773,0.14542,0.188,0.2342,0.27858,0.32182,0.368105,0.41439,0.45456,0.49897,0.53853,0.58045,0.62466,0.66371,0.704,0.74573,0.78594
"Argentina8567",0.018052,0.041941,0.073001,0.10773,0.14542,0.188,0.2342,0.27858,0.32182,0.368105,0.41439,0.45456,0.49897,0.53853,0.58045,0.62466,0.66371,0.704,0.74573,0.78594
"Argentina8568",0.018052,0.041941,0.073001,0.10773,0.14542,0.188,0.2342,0.27858,0.32182,0.368105,0.41439,0.45456,0.49897,0.53853,0.58045,0.62466,0.66371,0.704,0.74573,0.78594
"Argentina8570",0.018052,0.041941,0.073001,0.10773,0.14542,0.188,0.2342,0.27858,0.32182,0.368105,0.41439,0.45456,0.49897,0.53853,0.58045,0.62466,0.66371,0.704,0.74573,0.78594
"Argentina8571",0.018052,0.041941,0.073001,0.10773,0.14542,0.188,0.2342,0.27858,0.32182,0.368105,0.41439,0.45456,0.49897,0.53853,0.58045,0.62466,0.66371,0.704,0.74573,0.78594
"Argentina8572",0.018052,0.041941,0.073001,0.10773,0.14542,0.188,0.2342,0.27858,0.32182,0.368105,0.41439,0.45456,0.49897,0.53853,0.58045,0.62466,0.66371,0.704,0.74573,0.78594
"Argentina8573",0.018052,0.041941,0.073001,0.10773,0.14542,0.188,0.2342,0.27858,0.32182,0.368105,0.41439,0.45456,0.49897,0.53853,0.58045,0.62466,0.66371,0.704,0.74573,0.78594
