"country","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"CYP",17357.561204255,22182.886422107,27905.630805342,34588.940075985,42055.518795818,48363.184567408,55041.864752492,62931.637627473,71435.667887156,80138.541684145,88566.78568631,97881.435847949,108175.71632,119552.65572,132126.11828,146021.94344,161379.20529,178351.60447,197109.00645,217839.14162
"DEU",35839.159604438,42686.322227116,50985.257512747,59639.497364592,68101.96719239,77731.986804054,87663.645234847,97742.235140098,108096.41366,118986.8943,131039.63749,144313.25982,158931.42991,175030.34333,192759.99155,212285.55938,233788.96398,257470.54975,283550.95493,312273.16724
"DJI",1010.507860042,1372.350241856,1886.667194117,2681.644478101,3903.296080107,5906.808899751,9158.829265053,13141.775121075,17385.682260784,21152.044600783,23331.394629701,25735.288745878,28386.862309148,31311.634375488,34537.753295413,38096.267617019,42021.424900856,46351.001322488,51126.665234846,56394.378189362
"DMA",6171.981431415,8279.718874535,10975.90045744,16593.028542255,28084.051990391,39106.743068831,49507.714114828,60005.792837092,69314.478006611,79062.301396707,87377.356219772,96566.912992429,106722.94389,117947.09388,130351.69802,144060.90578,159211.9235,175956.38766,194461.88249,214913.6172
"DNK",46502.284643189,54853.50092716,65163.205622923,74952.825135276,83050.335208874,91886.538053705,101228.98449,111297.86457,122276.69057,134047.56976,147024.57204,161257.86406,176869.06591,193991.57156,212771.68872,233369.889,255962.17908,280741.60466,307919.90001,337729.29716
"DOM",4757.936195416,5707.727947184,7073.864753808,9959.920034159,15893.498795751,21141.792149918,25782.903259218,30322.223035,34293.731846854,39015.330772967,43118.608929385,47653.432616633,52665.18787438,58204.034033756,64325.405728792,71090.567704877,78567.227976918,86830.21547391,95962.228952007,106054.66467
"DZA",3309.6813192,4758.87847007,6510.458412344,9210.150879112,12103.282764181,14867.495090122,17802.931029016,20943.27275941,24011.246878949,27524.487917762,30419.263581636,33618.485459701,37154.172439811,41061.710865647,45380.208695144,50152.886906076,55427.512066132,61256.874396777,67699.31611553,74819.315344494
"ECU",3043.258255346,3617.258120646,4443.350253519,6202.762880282,9805.891366013,13004.644347113,15896.543752757,18764.684727081,21286.563598469,24275.86681393,26828.982013833,29650.610683263,32768.992630326,36215.337669671,40024.13798081,44233.513317438,48885.592522745,54026.935169034,59708.997541574,65988.647630398
"EGY",1493.674341909,1891.773594013,2492.958731239,3381.147256988,4712.228297104,6120.701491336,7373.316912026,9044.728595338,11214.408160686,12694.258830837,14029.325686366,15504.802748783,17135.457088455,18937.608842093,20929.294550174,23130.447672691,25563.098089929,28251.592584905,31222.838514158,34506.57310562
"ERI",201.059257257,251.246771946,333.874711735,455.038834624,642.842152099,941.966280038,1416.021071038,1981.631676919,2574.693000943,3087.728109958,3357.224479864,3650.242445846,3968.834968698,4315.234191276,4691.867077473,5101.372416167,5546.619309267,6030.727273397,6557.088096047,7129.389599324
"ESP",25667.364383775,31111.469130783,36910.717725987,42046.152291949,47222.099331108,53728.850762871,61983.742972129,70625.454592325,79296.910821676,88607.155435019,97926.051320191,108225.02404,119607.14918,132186.34287,146088.5019,161452.76377,178432.89916,197198.85098,217938.43518,240859.22049
"EST",10344.97977212,14720.597937846,20291.846191753,26765.721108177,33290.46446578,38690.956914053,43977.606229199,49304.634950206,54650.221853672,60442.257114184,66799.024785447,73824.339548691,81588.513115355,90169.251944124,99652.434953282,110132.97303,121715.75891,134516.71702,148663.96364,164299.08918
"FIN",38619.919358233,45703.154438296,54784.047433474,63582.665124295,70338.515122482,77354.401228928,84865.838146642,92951.417835953,101638.38655,111110.55352,121525.82284,132917.39758,145376.79455,159004.10915,173908.81953,190210.66608,208040.61339,227541.90243,248871.20123,272199.86359
"FJI",3531.124758234,5897.643121073,10170.987673262,16788.136376572,26657.455240807,38891.814977292,52046.02898766,63666.416094135,74655.789329707,83896.40368628,92719.865485211,102471.29886,113248.29944,125158.72706,138321.78529,152869.21444,168946.61007,186714.88016,206351.85552,228054.06961
