"segment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"Angola1216",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1217",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1218",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1219",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1220",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1221",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1222",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1223",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1224",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1225",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
"Angola1226",0.036718,0.083403,0.13962,0.20673,0.28409,0.37301,0.47291,0.57725,0.68877,0.78558,0.88239,0.99758,1.1102,1.2317,1.3546,1.4779,1.6068,1.7321,1.8539,1.9808
